Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","1993","1993","7021","Annual value","LCU","46000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","1994","1994","7021","Annual value","LCU","50000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","1995","1995","7021","Annual value","LCU","62000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","1996","1996","7021","Annual value","LCU","50000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","1997","1997","7021","Annual value","LCU","41000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","1998","1998","7021","Annual value","LCU","42000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","1999","1999","7021","Annual value","LCU","52000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2000","2000","7021","Annual value","LCU","67000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2001","2001","7021","Annual value","LCU","83000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2002","2002","7021","Annual value","LCU","75000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2003","2003","7021","Annual value","LCU","89000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2004","2004","7021","Annual value","LCU","91000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2005","2005","7021","Annual value","LCU","90200.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2008","2008","7021","Annual value","LCU","213810.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2009","2009","7021","Annual value","LCU","186000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2010","2010","7021","Annual value","LCU","215700.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2011","2011","7021","Annual value","LCU","230900.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5530","Producer Price (LCU/tonne)","2012","2012","7021","Annual value","LCU","240500.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","1993","1993","7021","Annual value","SLC","46000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","1994","1994","7021","Annual value","SLC","50000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","1995","1995","7021","Annual value","SLC","62000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","1996","1996","7021","Annual value","SLC","50000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","1997","1997","7021","Annual value","SLC","41000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","1998","1998","7021","Annual value","SLC","42000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","1999","1999","7021","Annual value","SLC","52000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2000","2000","7021","Annual value","SLC","67000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2001","2001","7021","Annual value","SLC","83000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2002","2002","7021","Annual value","SLC","75000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2003","2003","7021","Annual value","SLC","89000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2004","2004","7021","Annual value","SLC","91000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2005","2005","7021","Annual value","SLC","90200.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2008","2008","7021","Annual value","SLC","213810.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2009","2009","7021","Annual value","SLC","186000.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2010","2010","7021","Annual value","SLC","215700.000000","A"
"2","'004","Afghanistan","221","'01371","Almonds, in shell","5531","Producer Price (SLC/tonne)","2011","2011","7021","Annual value","SLC","230900.000000","A"
