Area,Item,Year,Export Quantity,Export Value,Import Quantity,Import Value,Price per Unit (USD/t),Category
Europe,"Abaca, manila hemp, raw",1961,549.0,234.0,33520.0,13908.0,0.4262295081967213,Other
Europe,"Abaca, manila hemp, raw",1962,426.0,164.0,34522.0,12506.0,0.38497652582159625,Other
Europe,"Abaca, manila hemp, raw",1963,669.0,257.0,40884.0,14934.0,0.3841554559043348,Other
Europe,"Abaca, manila hemp, raw",1964,563.0,203.0,40902.0,15892.0,0.3605683836589698,Other
Europe,"Abaca, manila hemp, raw",1965,609.0,174.0,28503.0,10186.0,0.2857142857142857,Other
Europe,"Abaca, manila hemp, raw",1966,275.0,94.0,24670.0,7724.0,0.3418181818181818,Other
Europe,"Abaca, manila hemp, raw",1967,84.0,26.0,21080.0,6076.0,0.30952380952380953,Other
Europe,"Abaca, manila hemp, raw",1968,163.0,47.0,18091.0,5144.0,0.2883435582822086,Other
Europe,"Abaca, manila hemp, raw",1969,201.0,64.0,18214.0,5542.0,0.31840796019900497,Other
Europe,"Abaca, manila hemp, raw",1970,195.0,75.0,16811.0,6418.0,0.38461538461538464,Other
Europe,"Abaca, manila hemp, raw",1971,144.0,49.0,15996.0,6162.0,0.3402777777777778,Other
Europe,"Abaca, manila hemp, raw",1972,63.0,26.0,13767.0,5786.0,0.4126984126984127,Other
Europe,"Abaca, manila hemp, raw",1973,115.0,59.0,14794.0,6934.0,0.5130434782608696,Other
Europe,"Abaca, manila hemp, raw",1974,167.0,149.0,18350.0,19218.0,0.8922155688622755,Other
Europe,"Abaca, manila hemp, raw",1975,137.0,165.0,8453.0,7081.0,1.2043795620437956,Other
Europe,"Abaca, manila hemp, raw",1976,24.0,28.0,11732.0,8226.0,1.1666666666666667,Other
Europe,"Abaca, manila hemp, raw",1977,191.0,154.0,12240.0,8361.0,0.806282722513089,Other
Europe,"Abaca, manila hemp, raw",1978,48.0,61.0,11717.0,7657.0,1.2708333333333333,Other
Europe,"Abaca, manila hemp, raw",1979,230.0,131.0,11680.0,10513.0,0.5695652173913044,Other
Europe,"Abaca, manila hemp, raw",1980,80.0,151.0,9638.0,11244.0,1.8875,Other
Europe,"Abaca, manila hemp, raw",1981,128.0,244.0,9732.0,10510.0,1.90625,Other
Europe,"Abaca, manila hemp, raw",1982,175.0,232.0,12079.0,12530.0,1.3257142857142856,Other
Europe,"Abaca, manila hemp, raw",1983,98.0,80.0,14083.0,13816.0,0.8163265306122449,Other
Europe,"Abaca, manila hemp, raw",1984,210.0,288.0,20620.0,25405.0,1.3714285714285714,Other
Europe,"Abaca, manila hemp, raw",1985,14.0,25.0,14101.0,17318.0,1.7857142857142858,Other
Europe,"Abaca, manila hemp, raw",1986,247.0,252.0,13157.0,13261.0,1.0202429149797572,Other
Europe,"Abaca, manila hemp, raw",1987,162.0,143.0,12492.0,12054.0,0.8827160493827161,Other
