Area,Item,Year,Export quantity,Export value,Import quantity,Import value,Import Price per Unit (USD/t),Export Price per Unit (USD/t)
Austria,"Disinfectants, etc",1979,,1045.0,,10533.0,,
Austria,"Disinfectants, etc",1986,,3952.0,,13852.0,,
Austria,"Disinfectants, etc",1988,,,,15681.0,,
Austria,"Disinfectants, etc",1989,,,,13869.0,,
Austria,Fungicides,1979,,1891.0,,3113.0,,
Austria,Fungicides,1986,,863.0,,8192.0,,
Austria,Fungicides,1988,,,,12987.0,,
Austria,Fungicides,1989,,,,15770.0,,
Austria,Herbicides,1979,,4251.0,,6505.0,,
Austria,Herbicides,1986,,16950.0,,12230.0,,
Austria,Herbicides,1988,,,,15364.0,,
Austria,Herbicides,1989,,,,19656.0,,
Austria,Insecticides,1979,,2281.0,,2273.0,,
Austria,Insecticides,1986,,1344.0,,3433.0,,
Austria,Insecticides,1988,,,,6239.0,,
Austria,Insecticides,1989,,,,8154.0,,
Austria,Pesticides (total),1961,,410.0,,1498.0,,
Austria,Pesticides (total),1962,,120.0,,1461.0,,
Austria,Pesticides (total),1963,,400.0,,1262.0,,
Austria,Pesticides (total),1964,,360.0,,1425.0,,
Austria,Pesticides (total),1965,,880.0,,1862.0,,
Austria,Pesticides (total),1966,,1748.0,,2238.0,,
Austria,Pesticides (total),1967,,1427.0,,2998.0,,
Austria,Pesticides (total),1968,,2255.0,,2983.0,,
Austria,Pesticides (total),1969,,2975.0,,2839.0,,
Austria,Pesticides (total),1970,,2544.0,,3255.0,,
Austria,Pesticides (total),1971,,2388.0,,4343.0,,
Austria,Pesticides (total),1972,,3132.0,,6152.0,,
Austria,Pesticides (total),1973,,6418.0,,7571.0,,
Austria,Pesticides (total),1974,,7349.0,,10247.0,,
Austria,Pesticides (total),1975,,10865.0,,12715.0,,
Austria,Pesticides (total),1976,,6817.0,,13293.0,,
Austria,Pesticides (total),1977,,7753.0,,16578.0,,
Austria,Pesticides (total),1978,,8399.0,,19989.0,,
Austria,Pesticides (total),1979,,9468.0,,22424.0,,
Austria,Pesticides (total),1980,,9628.0,,27005.0,,
Austria,Pesticides (total),1981,,11614.0,,24974.0,,
Austria,Pesticides (total),1982,,21254.0,,25592.0,,
Austria,Pesticides (total),1983,,16048.0,,27658.0,,
Austria,Pesticides (total),1984,,12114.0,,25428.0,,
Austria,Pesticides (total),1985,,20342.0,,26172.0,,
Austria,Pesticides (total),1986,,23109.0,,37707.0,,
