Area,Item,Year,Export quantity,Export value,Import quantity,Import value,Import Price per Unit (USD/t),Export Price per Unit (USD/t)
Albania,Alachlor,2020,0.0,0.0,0.0,0.0,0.0,0.0
Albania,"Aldicarb, captafol & methamidophos",2014,0.0,0.0,0.0147,0.0594,4.040816326530613,0.0
Albania,"Aldicarb, captafol & methamidophos",2020,0.0,0.0,0.0029,0.0662,22.82758620689655,0.0
Albania,"Aldrin, Chlordane, Heptachlor",2010,0.0,0.0,0.0002,0.049,245.0,0.0
Albania,"Aldrin, Chlordane, Heptachlor",2011,0.0,0.0,0.0103,0.2912,28.271844660194176,0.0
Albania,"Aldrin, Chlordane, Heptachlor",2014,0.0,0.0,0.0003,0.056,186.66666666666669,0.0
Albania,"Aldrin, Chlordane, Heptachlor",2018,0.0,0.0,0.0073,0.3551,48.64383561643836,0.0
Albania,"Aldrin, Chlordane, Heptachlor",2020,0.0,0.0,0.0031,0.1499,48.35483870967742,0.0
Albania,Antimalarial insecticides,2017,0.0,0.0,2.0,31.0,15.5,0.0
Albania,Antimalarial insecticides,2018,0.0,0.0,1.0,43.0,43.0,0.0
Albania,Antimalarial insecticides,2019,0.0,0.0,7.0,176.0,25.142857142857142,0.0
Albania,Antimalarial insecticides,2020,0.0,0.0,27.0,207.0,7.666666666666667,0.0
Albania,Antimalarial insecticides,2021,0.0,0.0,71.0,609.0,8.577464788732394,0.0
Albania,Antimalarial insecticides,2022,0.0,0.0,64.0,327.0,5.109375,0.0
Albania,Azinphos-methyl,2018,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Azinphos-methyl,2021,0.0,0.0,0.0,3.0,0.0,0.0
Albania,"Compounds of mercury chemically defined, excluding amalgams",2012,0.0,0.0,0.0031,0.0489,15.774193548387098,0.0
Albania,"Compounds of mercury chemically defined, excluding amalgams",2013,0.0,0.0,0.0143,0.174,12.167832167832167,0.0
Albania,"Compounds of mercury chemically defined, excluding amalgams",2015,0.0,0.0,0.0294,0.108,3.673469387755102,0.0
Albania,"Compounds of mercury chemically defined, excluding amalgams",2018,0.0,0.0,0.0,0.0173,0.0,0.0
Albania,"Compounds of mercury chemically defined, excluding amalgams",2020,0.0,0.0,0.0003,0.4022,1340.6666666666667,0.0
Albania,"Compounds of mercury chemically defined, excluding amalgams",2021,0.0,0.0,0.0011,0.1236,112.36363636363636,0.0
Albania,"DDT, Hexachlorobenzene",2014,0.0,0.0,0.0524,0.1299,2.479007633587786,0.0
Albania,"DDT, Hexachlorobenzene",2018,0.0,0.0,0.0514,0.1273,2.4766536964980546,0.0
Albania,"DDT, Hexachlorobenzene",2020,0.0,0.0,0.0793,0.1965,2.4779319041614127,0.0
Albania,DNOC and its salts,2009,0.0,0.0,0.025,0.085,3.4,0.0
Albania,DNOC and its salts,2011,0.0,0.0,1.84,5.843,3.1755434782608694,0.0
Albania,Dieldrin,2010,0.0,0.0,0.0067,0.1232,18.388059701492537,0.0
Albania,Dieldrin,2011,0.0,0.0,0.0023,0.0426,18.52173913043478,0.0
Albania,Dieldrin,2014,0.0,0.0,0.0033,0.0605,18.333333333333332,0.0
Albania,Dieldrin,2018,0.0,0.0,0.0032,0.0584,18.25,0.0
Albania,Dieldrin,2020,0.0,0.0,0.0033,0.0613,18.575757575757574,0.0
Albania,Dinoseb and its salts,2011,0.0,0.0,0.004,0.0672,16.799999999999997,0.0
Albania,"Disinfectants, etc",1996,0.0,0.0,99.0,81.299,0.8212020202020203,0.0
Albania,"Disinfectants, etc",1997,0.0,0.0,29.0,68.485,2.361551724137931,0.0
Albania,"Disinfectants, etc",1998,0.0,0.0,88.0,142.077,1.6145113636363637,0.0
Albania,"Disinfectants, etc",1999,0.0,0.0,77.0,132.946,1.7265714285714286,0.0
Albania,"Disinfectants, etc",2000,25.0,2.456,68.0,101.676,1.495235294117647,0.09824
Albania,"Disinfectants, etc",2001,0.0,0.0,418.0,169.188,0.404755980861244,0.0
Albania,"Disinfectants, etc",2002,0.0,0.0,249.0,159.188,0.6393092369477911,0.0
Albania,"Disinfectants, etc",2003,0.0,0.0,310.0,281.263,0.9072999999999999,0.0
Albania,"Disinfectants, etc",2004,0.0,0.0,546.0,463.326,0.8485824175824176,0.0
Albania,"Disinfectants, etc",2005,2.0,1.933,525.0,508.89,0.9693142857142857,0.9665
Albania,"Disinfectants, etc",2006,0.0,0.0,171.0,278.372,1.6279064327485382,0.0
Albania,"Disinfectants, etc",2007,0.0,0.0,843.0,1424.015,1.6892230130486359,0.0
Albania,"Disinfectants, etc",2008,0.0,0.176,625.0,1333.811,2.1340976,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2009,0.0,0.511,505.0,1280.466,2.5355762376237623,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2010,13.0,53.149,88.0,473.678,5.382704545454545,4.088384615384616
Albania,"Disinfectants, etc (excl. Haz. pest.)",2011,0.0,0.0,112.0,553.988,4.946321428571429,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2012,0.0,1.56,119.0,468.479,3.936798319327731,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2013,1.0,2.509,59.0,302.865,5.133305084745763,2.509
Albania,"Disinfectants, etc (excl. Haz. pest.)",2014,0.0,0.0,121.0,454.358,3.7550247933884298,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2015,0.0,0.0,108.0,376.982,3.4905740740740745,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2016,0.0,0.0,108.0,304.096,2.815703703703704,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2017,0.0,0.0,121.0,294.5817,2.4345595041322317,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2018,0.0,0.0,92.0,331.641,3.60479347826087,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2019,0.0,0.0,103.0,310.3361,3.012971844660194,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2020,0.0,0.0,359.0,1362.4681,3.795175766016713,0.0
Albania,"Disinfectants, etc (excl. Haz. pest.)",2021,8.0,23.9552,109.0,373.824,3.4295779816513763,2.9944
Albania,"Disinfectants, etc (excl. Haz. pest.)",2022,0.0,0.0,13.0,88.5215,6.809346153846154,0.0
Albania,Endosulfan,2018,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Endosulfan,2020,0.0,0.0,0.0,0.0,0.0,0.0
Albania,"Ethylene dibromide (1,2-dibromoethane)",2013,0.0,0.0,1.815,1131.966,623.6727272727272,0.0
Albania,Ethylene dichloride,2007,0.0,0.0,0.05,0.795,15.9,0.0
Albania,Ethylene dichloride,2010,114.5,1.967,0.0,0.0,0.0,0.017179039301310043
