Area,Item,Year,Export Quantity,Export Value,Import Quantity,Import Value,Price per Unit (USD/t),Category
Europe,"Abaca, manila hemp, raw",1961,549.0,234.0,33520.0,13908.0,0.4262295081967213,Other
Europe,"Abaca, manila hemp, raw",1962,426.0,164.0,34522.0,12506.0,0.3849765258215962,Other
Europe,"Abaca, manila hemp, raw",1963,669.0,257.0,40884.0,14934.0,0.3841554559043348,Other
Europe,"Abaca, manila hemp, raw",1964,563.0,203.0,40902.0,15892.0,0.3605683836589698,Other
Europe,"Abaca, manila hemp, raw",1965,609.0,174.0,28503.0,10186.0,0.2857142857142857,Other
Europe,hydrogenated oils and fats,2018,691881.39,1090674.0,749726.09,1216634.0,1.5763886928654056,Other
Europe,hydrogenated oils and fats,2019,646175.33,918186.0,795592.15,1088235.0,1.420954897798404,Other
Europe,hydrogenated oils and fats,2020,632076.12,957207.0,862955.96,1243578.0,1.5143856407674443,Other
Europe,hydrogenated oils and fats,2021,715022.5,1315479.0,947906.03,1546016.0,1.83977287428018,Other
Europe,hydrogenated oils and fats,2022,660972.68,1532051.0,803735.56,1758174.0,2.317873410441109,Other
