Area,Item,Year,Export quantity,Export value,Import quantity,Import value,Import Price per Unit (USD/t),Export Price per Unit (USD/t)
Albania,"Ammonia, anhydrous",2002,0.0,0.0,29.57,3.52,0.1190395671288468,0.0
Albania,"Ammonia, anhydrous",2003,0.0,0.0,13.69,5.12,0.3739956172388605,0.0
Albania,"Ammonia, anhydrous",2004,0.0,0.0,1041.93,280.59,0.269298321384354,0.0
Albania,"Ammonia, anhydrous",2005,0.0,0.0,2.97,2.1,0.7070707070707071,0.0
Albania,"Ammonia, anhydrous",2006,0.0,0.0,3.01,2.23,0.7408637873754154,0.0
United Kingdom of Great Britain and Northern Ireland,Urea and ammonium nitrate solutions (UAN),2018,520.57,470.05,505319.04,96899.49,0.1917590320760524,0.902952532800584
United Kingdom of Great Britain and Northern Ireland,Urea and ammonium nitrate solutions (UAN),2019,3395.77,376.45,489683.51,93751.23,0.1914526997243587,0.1108585092629948
United Kingdom of Great Britain and Northern Ireland,Urea and ammonium nitrate solutions (UAN),2020,394.71,286.88,509844.26,89051.82,0.1746647495845104,0.7268120898887791
United Kingdom of Great Britain and Northern Ireland,Urea and ammonium nitrate solutions (UAN),2021,986.11,503.43,279875.71,99159.59,0.3542986635031671,0.5105211386153674
United Kingdom of Great Britain and Northern Ireland,Urea and ammonium nitrate solutions (UAN),2022,294.51,602.99,451583.75,289027.99,0.6400318656284687,2.0474347220807445
