Area,Item,Year,Export quantity,Export value,Import quantity,Import value,Import Price per Unit (USD/t),Export Price per Unit (USD/t)
Albania,"Ammonia, anhydrous",2002,0.0,0.0,29.57,3.52,0.11903956712884681,0.0
Albania,"Ammonia, anhydrous",2003,0.0,0.0,13.69,5.12,0.3739956172388605,0.0
Albania,"Ammonia, anhydrous",2004,0.0,0.0,1041.93,280.59,0.269298321384354,0.0
Albania,"Ammonia, anhydrous",2005,0.0,0.0,2.97,2.1,0.7070707070707071,0.0
Albania,"Ammonia, anhydrous",2006,0.0,0.0,3.01,2.23,0.7408637873754154,0.0
Albania,"Ammonia, anhydrous",2007,0.0,0.0,5.96,5.82,0.976510067114094,0.0
Albania,"Ammonia, anhydrous",2008,0.0,0.0,4.37,3.92,0.897025171624714,0.0
Albania,"Ammonia, anhydrous",2009,0.0,0.0,1.08,1.9,1.759259259259259,0.0
Albania,"Ammonia, anhydrous",2010,0.0,0.0,3.05,5.7,1.8688524590163935,0.0
Albania,"Ammonia, anhydrous",2011,0.0,0.0,1.0,1.82,1.82,0.0
Albania,"Ammonia, anhydrous",2012,0.0,0.0,6.48,7.17,1.1064814814814814,0.0
Albania,"Ammonia, anhydrous",2013,0.0,0.0,3.25,5.37,1.6523076923076923,0.0
Albania,"Ammonia, anhydrous",2015,0.0,0.0,4.18,7.69,1.8397129186602874,0.0
Albania,"Ammonia, anhydrous",2017,0.0,0.0,2.98,4.46,1.4966442953020134,0.0
Albania,"Ammonia, anhydrous",2018,0.0,0.0,3.66,6.13,1.674863387978142,0.0
Albania,"Ammonia, anhydrous",2019,0.0,0.0,11.33,19.81,1.7484554280670783,0.0
Albania,"Ammonia, anhydrous",2020,0.0,0.0,3.35,5.07,1.5134328358208955,0.0
Albania,"Ammonia, anhydrous",2021,0.0,0.0,1.49,2.22,1.4899328859060403,0.0
Albania,"Ammonia, anhydrous",2022,0.0,0.0,2.43,4.57,1.8806584362139918,0.0
Albania,Ammonium nitrate (AN),2002,2.5,0.25,28147.53,1994.59,0.07086199037713078,0.1
Albania,Ammonium nitrate (AN),2003,20.0,2.1,31872.05,2431.54,0.07629066846970936,0.10500000000000001
Albania,Ammonium nitrate (AN),2004,0.0,0.0,22237.82,1535.24,0.06903734268916648,0.0
Albania,Ammonium nitrate (AN),2005,0.0,0.0,27709.3,1874.1,0.06763433215563006,0.0
Albania,Ammonium nitrate (AN),2006,0.0,0.0,29623.25,4569.88,0.1542666655414244,0.0
Albania,Ammonium nitrate (AN),2007,0.0,0.0,38531.35,6611.14,0.17157820839394416,0.0
Albania,Ammonium nitrate (AN),2008,35.0,6.07,24898.69,7894.22,0.31705362812260407,0.17342857142857143
Albania,Ammonium nitrate (AN),2009,0.0,0.0,20887.94,4253.2,0.2036198878395859,0.0
Albania,Ammonium nitrate (AN),2010,540.02,181.26,20905.5,5682.76,0.271830857908206,0.3356542350283323
Albania,Ammonium nitrate (AN),2011,150.0,64.77,21679.93,7311.15,0.3372312548979632,0.43179999999999996
Albania,Ammonium nitrate (AN),2012,0.0,0.0,28049.72,9387.42,0.3346707204207386,0.0
Albania,Ammonium nitrate (AN),2013,0.0,0.0,27519.39,9290.62,0.3376026866874593,0.0
Albania,Ammonium nitrate (AN),2014,0.0,0.0,12200.73,3733.57,0.30601201731371813,0.0
Albania,Ammonium nitrate (AN),2015,0.0,0.0,28426.85,6885.44,0.2422160738878912,0.0
Albania,Ammonium nitrate (AN),2016,0.0,0.0,15505.82,3004.09,0.19373951200259001,0.0
Albania,Ammonium nitrate (AN),2017,0.0,0.0,19941.1,3562.08,0.1786300655430242,0.0
Albania,Ammonium nitrate (AN),2018,0.0,0.0,6733.65,1354.73,0.20118806293763414,0.0
Albania,Ammonium nitrate (AN),2019,0.0,0.0,18593.18,3907.18,0.21014049237408555,0.0
Albania,Ammonium nitrate (AN),2020,0.0,0.0,26903.19,4593.1,0.17072696583565,0.0
Albania,Ammonium nitrate (AN),2021,0.0,0.0,15246.75,6280.33,0.4119127027071343,0.0
Albania,Ammonium nitrate (AN),2022,33881.6,16769.29,4351.19,3045.57,0.699939556764931,0.4949379604268984
Albania,Ammonium sulphate,2002,0.0,0.0,20.1,2.85,0.1417910447761194,0.0
Albania,Ammonium sulphate,2003,0.0,0.0,17.9,3.38,0.18882681564245812,0.0
Albania,Ammonium sulphate,2004,0.0,0.0,56.91,12.36,0.21718502899314707,0.0
Albania,Ammonium sulphate,2005,0.0,0.0,18.0,4.48,0.2488888888888889,0.0
Albania,Ammonium sulphate,2006,0.0,0.0,45.47,9.27,0.20387068396745106,0.0
Albania,Ammonium sulphate,2007,0.0,0.0,53.58,12.68,0.23665546845838,0.0
Albania,Ammonium sulphate,2008,0.0,0.0,215.3,95.35,0.44287041337668365,0.0
Albania,Ammonium sulphate,2009,0.0,0.0,42.5,15.9,0.37411764705882355,0.0
Albania,Ammonium sulphate,2010,0.0,0.0,201.4,70.68,0.3509433962264151,0.0
Albania,Ammonium sulphate,2011,0.0,0.0,127.04,49.56,0.39011335012594456,0.0
Albania,Ammonium sulphate,2012,0.0,0.0,139.01,49.77,0.35803179627364945,0.0
Albania,Ammonium sulphate,2013,0.0,0.0,115.58,49.37,0.42715002595604773,0.0
Albania,Ammonium sulphate,2014,0.0,0.0,180.34,63.08,0.34978374182100475,0.0
Albania,Ammonium sulphate,2015,0.0,0.0,159.63,37.32,0.23379064085698179,0.0
Albania,Ammonium sulphate,2016,0.0,0.0,266.86,82.89,0.31061230607809337,0.0
Albania,Ammonium sulphate,2017,0.0,0.0,194.33,46.37,0.23861472752534346,0.0
Albania,Ammonium sulphate,2018,0.0,0.0,453.85,85.42,0.18821196430538722,0.0
Albania,Ammonium sulphate,2019,0.0,0.0,663.5,144.71,0.21810097965335343,0.0
Albania,Ammonium sulphate,2020,0.0,0.0,1416.22,527.17,0.37223736425131687,0.0
Albania,Ammonium sulphate,2021,0.0,0.0,3325.68,1274.4,0.3831998268023382,0.0
Albania,Ammonium sulphate,2022,0.0,0.0,2304.5,986.37,0.42801909307875896,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2004,0.0,0.0,7.0,1.82,0.26,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2005,0.0,0.0,2.0,2.08,1.04,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2007,0.0,0.0,118.2,28.55,0.24153976311336717,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2008,0.0,0.0,83.9,40.8,0.48629320619785454,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2009,0.0,0.0,5811.44,1214.11,0.20891723910080806,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2010,0.0,0.0,5681.25,1523.71,0.2681997799779978,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2011,0.0,0.0,3067.15,1132.2,0.3691374728982932,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2012,0.0,0.0,274.86,109.8,0.39947609692206937,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2013,0.0,0.0,326.16,124.38,0.38134657836644587,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2014,0.0,0.0,6.0,2.5,0.4166666666666667,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2015,0.0,0.0,164.75,70.82,0.4298634294385432,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2016,0.0,0.0,245.8,82.39,0.33519121236777866,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2017,0.0,0.0,180.95,47.8,0.2641613705443493,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2018,0.0,0.0,204.22,50.48,0.24718440897071783,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2019,0.0,0.0,762.0,187.78,0.24643044619422572,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2020,0.0,0.0,1191.02,330.23,0.27726654464240735,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2021,0.0,0.0,4845.2,1238.86,0.25568810369025013,0.0
Albania,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2022,0.0,0.0,4763.93,2595.76,0.544877863444677,0.0
Albania,Diammonium phosphate (DAP),2002,0.0,0.0,12000.0,2092.45,0.1743708333333333,0.0
Albania,Diammonium phosphate (DAP),2003,0.0,0.0,11791.32,2552.0,0.21643039116909726,0.0
Albania,Diammonium phosphate (DAP),2004,75.0,19.74,23478.0,2294.41,0.09772595621432831,0.2632
Albania,Diammonium phosphate (DAP),2005,650.0,118.15,14404.3,2660.44,0.18469762501475256,0.18176923076923077
Albania,Diammonium phosphate (DAP),2006,0.0,0.0,8921.6,2464.85,0.27627891857962694,0.0
Albania,Diammonium phosphate (DAP),2007,0.0,0.0,3716.29,1091.17,0.2936180976188618,0.0
Albania,Diammonium phosphate (DAP),2008,0.0,0.0,1.2,1.4,1.1666666666666667,0.0
Albania,Diammonium phosphate (DAP),2009,0.0,0.0,8632.94,3440.87,0.3985745296503856,0.0
Albania,Diammonium phosphate (DAP),2010,0.0,0.0,1700.33,850.47,0.5001793769444756,0.0
Albania,Diammonium phosphate (DAP),2011,0.0,0.0,0.6,2.39,3.983333333333334,0.0
Albania,Diammonium phosphate (DAP),2012,6.4,3.72,863.96,500.25,0.5790198620306496,0.58125
Albania,Diammonium phosphate (DAP),2013,0.0,0.0,3673.17,1947.84,0.5302885518503091,0.0
Albania,Diammonium phosphate (DAP),2015,0.0,0.0,2476.0,1310.67,0.5293497576736672,0.0
